code,name,weight,internal_code
X00,Afghanistan,7,1
RSA,Afrique du Sud,116,0
ALB,Albanie,109,0
ALG,Algérie,178,0
GER,Allemagne,3613,0
X01,Andorre,14,1
ENG,Angleterre,2848,0
X02,Angola,36,1
X03,Anguilla,2,1
X04,Antigua-et-Barbuda,7,1
KSA,Arabie saoudite,119,0
ARG,Argentine,268,0
X05,Arménie,11,1
X06,Aruba,0,1
AUS,Australie,87,0
AUT,Autriche,311,0
X07,Azerbaïdjan,6,1
X08,Bahamas,2,1
X09,Bahreïn,1,1
X0A,Bangladesh,1,1
X0B,Barbade,3,1
BEL,Belgique,164,0
X0C,Bermudes,5,1
X0D,Bhoutan,0,1
X0E,Birmanie,0,1
X0F,Biélorussie,4,1
X0G,Bolivie,42,1
X0H,Bonaire,0,1
BIH,Bosnie,132,0
X0I,Botswana,0,1
X0J,Brunei,0,1
BRA,Brésil,293,0
BUL,Bulgarie,44,0
X0K,Burkina Faso,37,1
X0L,Burundi,2,1
X0M,Bélize,0,1
X0N,Bénin,29,1
X0O,Cambodge,0,1
CMR,Cameroun,122,0
CAN,Canada,127,0
X0P,Cap-Vert,107,1
X0Q,Caïman,0,1
X0R,Centrafrique,23,1
CHI,Chili,84,0
CHN,Chine,6,0
X0S,Chypre,13,1
COL,Colombie,162,0
X0T,Comores,48,1
X0U,Congo,43,1
X0V,Cook,0,1
X0W,Corée du Nord,0,1
KOR,Corée du Sud,112,0
X0X,Costa Rica,8,1
X0Y,Crimée,0,1
CRO,Croatie,198,0
X0Z,Cuba,7,1
X10,Curaçao,102,1
CIV,Côte d'Ivoire,206,0
DEN,Danemark,148,0
X11,Djibouti,0,1
X12,Dominique,2,1
X13,E.A.U.,8,1
ESP,Espagne,5388,0
X14,Estonie,9,1
X15,Eswatini,0,1
X16,Fidji,2,1
FIN,Finlande,48,0
FRA,France,5666,0
X17,Féroé,4,1
X18,Gabon,35,1
X19,Gambie,50,1
GHA,Ghana,172,0
X1A,Gibraltar,8,1
X1B,Grande-Bretagne,0,1
X1C,Grenade,12,1
